screen_code,state_code,title,approval_status,approved_for_development,artifact_type,reference_image,sha256
03C,05,Dorso procesando,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03C_05_DORSO_PROCESANDO_APROBADA_FINAL.png,c1eb79b3d09b96dcddda3662461b19b188a629b4bd66bc820221751667f9f441
03C,06,Documento validado selfie habilitada,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03C_06_DOCUMENTO_VALIDADO_SELFIE_HABILITADA_APROBADA_FINAL.png,2f6bf5a66c7efcd330ffd560b6e7a926c5abdec77f8ad8b65fbd26c7491986ef
03C,07,Camara selfie,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03C_07_CAMARA_SELFIE_APROBADA_FINAL.png,937f4ac9eed8064f89d7cefbd999c0d5d20eb68e457d5b629e7284ed2d49f471
03C,08,Selfie procesando,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03C_08_SELFIE_PROCESANDO_APROBADA_FINAL.png,3769829e4eeeda64384e599584f3cac70a7380ae8c295868a468e5ee14ec3a8b
03C,09,Identidad validada correo habilitado,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03C_09_IDENTIDAD_VALIDADA_CORREO_HABILITADO_APROBADA_FINAL.png,a55ccc2ec2c90ed908ea5386c504ca34aac6841d5997dbf5c1be130a6d330541
03C,10,Correo invalido,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03C_10_CORREO_INVALIDO_APROBADA_FINAL.png,f00c6ece64f902bb5a5c42956ad0c00f014852dc504055d2a1eeee1aab549305
03C,11,Correos no coinciden,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03C_11_CORREOS_NO_COINCIDEN_APROBADA_FINAL.png,f307630147c5a593ed8bff9925b473b35e702dc46418ceb58970bb014b62091b
03C,12,Listo para validar,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03C_12_LISTO_PARA_VALIDAR_APROBADA_FINAL.png,ebf607ddf69f1d2afad70f033f162fcce8d8b12d052a3b268e7073f87c146694
03C,13,Validacion final procesando,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03C_13_VALIDACION_FINAL_PROCESANDO_APROBADA_FINAL.png,b7ea2e371c54fb32c1aa92fa20da596d905eebfc759ea5bab4be33d4e5683bcc
03C,14,Imagen rechazada calidad,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03C_14_IMAGEN_RECHAZADA_CALIDAD_APROBADA_FINAL.png,82df119e034c7e5abc80713ae920690a1f71276718df4532aac49cd0dc661358
